食譜名稱,食譜食材,食譜網址,圖片網址
【綠山農場 諾曼第發酵奶油】 健康又美味的奶油玉米濃湯 屬於小朋友的下午茶時光,"高湯：, 水 2000 g, 玉米罐頭 1 罐, 雞腳 3-4 支, 馬鈴薯 2-3 塊, 我這次做的奶油玉米濃湯較稠, 有點像玉米粥, 如果喜歡稀釋一點的朋友, 馬鈴薯可以放少一點, 炒白醬：, 綠山農場 諾曼地（無鹽）發酵奶油 50 g, 鮮奶 600 g, 麵粉 50 g, 玉米罐頭 2 罐",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522110-%E7%B6%A0%E5%B1%B1%E8%BE%B2%E5%A0%B4-%E8%AB%BE%E6%9B%BC%E7%AC%AC%E7%99%BC%E9%85%B5%E5%A5%B6%E6%B2%B9-%E5%81%A5%E5%BA%B7%E5%8F%88%E7%BE%8E%E5%91%B3%E7%9A%84%E5%A5%B6%E6%B2%B9%E7%8E%89%E7%B1%B3%E6%BF%83%E6%B9%AF-%E5%B1%AC%E6%96%BC%E5%B0%8F%E6%9C%8B%E5%8F%8B%E7%9A%84%E4%B8%8B%E5%8D%88%E8%8C%B6%E6%99%82%E5%85%89,https://cookpad.com/tw/recipe/images/9fb93e7f3aabb383
香蕉燕麥餅（無糖無麵粉）,"香蕉三根/燕麥, 蜂蜜可加可不加",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522123-%E9%A6%99%E8%95%89%E7%87%95%E9%BA%A5%E9%A4%85%E7%84%A1%E7%B3%96%E7%84%A1%E9%BA%B5%E7%B2%89,https://cookpad.com/tw/recipe/images/a93557ca006fe8c1
低醣漢堡排,解凍板豆腐/豬絞肉/香菇/高麗菜/西班牙紅椒粉/黑胡椒/米酒/生抽/青蔥/全蛋一顆/巴西利葉,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522031-%E4%BD%8E%E9%86%A3%E6%BC%A2%E5%A0%A1%E6%8E%92,https://cookpad.com/tw/recipe/images/a37905fd8cd20493
消暑紅豆牛奶湯,紅豆湯、鮮奶。,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12521932-%E6%B6%88%E6%9A%91%E7%B4%85%E8%B1%86%E7%89%9B%E5%A5%B6%E6%B9%AF,https://cookpad.com/tw/recipe/images/60125d5173e325ef
超簡單的唯美呈現～桑椹鏡面重乳酪蛋糕,"消化餅乾4片, 奶油36克, 牛奶70克, Cream cheese 100 克, Sugar20 克, 吉利丁粉4克",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12521940-%E8%B6%85%E7%B0%A1%E5%96%AE%E7%9A%84%E5%94%AF%E7%BE%8E%E5%91%88%E7%8F%BE%EF%BD%9E%E6%A1%91%E6%A4%B9%E9%8F%A1%E9%9D%A2%E9%87%8D%E4%B9%B3%E9%85%AA%E8%9B%8B%E7%B3%95,https://cookpad.com/tw/recipe/images/a56a10e9a7ba5db8
布列塔尼蘋果蛋糕,"焦化蘋果部分：, 蘋果 300-500 克, 含鹽奶油(微波使呈液狀) 80 克, 蛋糕體部分：, 中筋麵粉 125 克, 砂糖 50 克, 雞蛋 3 顆, 含鹽奶油(微波使呈液狀) 80 克, 牛奶 400 毫升, 砂糖(撒面用) 25 克",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12146210-%E5%B8%83%E5%88%97%E5%A1%94%E5%B0%BC%E8%98%8B%E6%9E%9C%E8%9B%8B%E7%B3%95,https://cookpad.com/tw/recipe/images/911799ebcbe7bb74
塔香手撕杏鮑菇,"杏鮑菇3根, 九層塔適量, 調味, 醬油1小匙, 蠔油1小匙, 唐辛子七味粉適量, 白芝麻適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12521858-%E5%A1%94%E9%A6%99%E6%89%8B%E6%92%95%E6%9D%8F%E9%AE%91%E8%8F%87,https://cookpad.com/tw/recipe/images/7bf073202d7e7aef
茶葉蛋,"雞蛋 8 顆, 鵪鶉蛋 20 顆, (我只買到水煮好的), 醬油 4 大匙, (可以換成2匙醬油 2匙老抽), 鹽巴 10 克, 冰糖 1.5 大匙, 月桂葉 3 片, 茶葉 20 克, 水 600 毫升",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12521605-%E8%8C%B6%E8%91%89%E8%9B%8B,https://cookpad.com/tw/recipe/images/7ed43a5c0f1a8641
麵腸炒酸菜,"麵腸 2 條, 酸菜 200 克, 醬油 1 茶匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12431232-%E9%BA%B5%E8%85%B8%E7%82%92%E9%85%B8%E8%8F%9C,https://cookpad.com/tw/recipe/images/adb21d66b4214ffb
炒高麗菜,"高麗菜 200 克, 紅蘿蔔 20 克, 蒜頭 5 粒, 鹽 1/4 匙, 雞湯 5 大匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/11969830-%E7%82%92%E9%AB%98%E9%BA%97%E8%8F%9C,https://cookpad.com/tw/recipe/images/7eaa0d3f4e1d81de
焦糖煉乳布丁Leche Flan,"模具 18 cm, 鋁箔紙 1 張, 焦糖, 棕櫚糖或糖 60 g, 水 2 湯匙, 布丁液, 全蛋 6 顆, 煉乳 200 g, 牛奶 465 g",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12521256-%E7%84%A6%E7%B3%96%E7%85%89%E4%B9%B3%E5%B8%83%E4%B8%81leche-flan,https://cookpad.com/tw/recipe/images/1bfa1c580e255266
五花肉佐彩椒,"彩椒，紅黃各半條, 水 ，適量, 洋蔥，1/4顆, 胡椒鹽，適量, 五花肉條，適量, 鹽，半匙, 油，半匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12165541-%E4%BA%94%E8%8A%B1%E8%82%89%E4%BD%90%E5%BD%A9%E6%A4%92,https://cookpad.com/tw/recipe/images/1ffe99af2edaf7b5
素筒仔米糕,"長糯米3杯, 芋頭250克，切小塊, 豆乾3片，切小塊, 香菇5朵，切小塊, 素火腿半碗，切小塊, 蘿蔔乾半碗，切碎, 醃脆瓜小半碗，切碎, 薑末適量, 醬料, 醬油2大匙, 五香粉1匙, 糖1匙, 麻油2匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12521259-%E7%B4%A0%E7%AD%92%E4%BB%94%E7%B1%B3%E7%B3%95,https://cookpad.com/tw/recipe/images/abfbd2cf9e77e7c0
芋香蒸小排,"豬小排 600 g, 芋頭 200 g, 蔥 1 根, 辣椒 1 根, 小排醃料, 鹽 1 茶匙, 黑胡椒粉 少許, 醬油 1/3 湯匙, 棕梠糖或二砂 1/2 湯匙, 香油 少許, 太白粉或玉米粉 4 茶匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12520967-%E8%8A%8B%E9%A6%99%E8%92%B8%E5%B0%8F%E6%8E%92,https://cookpad.com/tw/recipe/images/a5782532e5f7d928
【共食團】大師醃小黃瓜,"小黃瓜, 鹽, 胡椒粉, 二砂糖, 五印醋, 醬油, 味醂, 切碎蒜頭, 香油, 豆瓣醬 (視個人口味添加, 辣椒 (視個人口味添加, 以上調味的量除了依小黃瓜的量來做調整，也可以視個人口味增加",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12519963-%E5%85%B1%E9%A3%9F%E5%9C%98%E5%A4%A7%E5%B8%AB%E9%86%83%E5%B0%8F%E9%BB%83%E7%93%9C,https://cookpad.com/tw/recipe/images/82ea233a191aee9c
酸菜炒肉絲,"酸菜 200 g, 梅花肉 200 g, 蒜頭 2 瓣, 辣椒 2 根, 調味料, 醬油 1/2 湯匙, 棕櫚糖或二砂 1.5 湯匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12520708-%E9%85%B8%E8%8F%9C%E7%82%92%E8%82%89%E7%B5%B2,https://cookpad.com/tw/recipe/images/9d90784259e5a8ae
果皮黃金泡菜,"高麗菜 700 g, 鹽 35 g, 冷開水 1000 cc, 泡菜醬汁食材：, 胡蘿蔔 1 條, 南瓜 1/4 顆, 胡蘿蔔皮 少許, 蘋果醋(水果醋) 150 cc, 黑糖 150 g, 蒜 6 瓣, 香油 80 cc",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12454587-%E6%9E%9C%E7%9A%AE%E9%BB%83%E9%87%91%E6%B3%A1%E8%8F%9C,https://cookpad.com/tw/recipe/images/277b19311934e92a
素培根牛油果焗雞蛋,"牛油果 1 個, 雞蛋 2 個, 素培根 適量, 紅、黃小番茄 適量, 香菜 適量, 檸檬 汁 適量, 鹽 適量, 黑胡椒粉 適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12513871-%E7%B4%A0%E5%9F%B9%E6%A0%B9%E7%89%9B%E6%B2%B9%E6%9E%9C%E7%84%97%E9%9B%9E%E8%9B%8B,https://cookpad.com/tw/recipe/images/5bb5c27151e10606
香腸炒小黃瓜,"有機小黃瓜 6 根, 蒜味香腸 2 根, 蒜頭 2 瓣, 蔥 2 根, 辣椒 1/2 條, 紅蘿蔔 1/4 條, 調味料, 鹽 1 茶匙, 黑胡椒粉 少許",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12520637-%E9%A6%99%E8%85%B8%E7%82%92%E5%B0%8F%E9%BB%83%E7%93%9C,https://cookpad.com/tw/recipe/images/84e3109f42e71156
氣炸蒜香腰果牛肉粒,"沙律菜少許, 沙律昆布少許, 黑松露橄欖油一茶匙, 主食, 美國牛肉粒12塊, 紅酒一湯匙, 鹽一茶匙, 蒜片香料, 腰果12粒, 香蔥少許",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12520521-%E6%B0%A3%E7%82%B8%E8%92%9C%E9%A6%99%E8%85%B0%E6%9E%9C%E7%89%9B%E8%82%89%E7%B2%92,https://cookpad.com/tw/recipe/images/6931b6933d6264d1
菜脯蛋,"自製菜脯材料, 白蘿蔔 1 條, 鹽 2 匙, 菜脯蛋材料, 菜脯 少許, 白胡椒 少許, 蛋 1 個",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12478994-%E8%8F%9C%E8%84%AF%E8%9B%8B,https://cookpad.com/tw/recipe/images/11e91c93a0928fea
蒸臭豆腐,"臭豆腐、豆瓣醬、, 絞肉、香菇兩朵, 蔥蒜少許",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12520153-%E8%92%B8%E8%87%AD%E8%B1%86%E8%85%90,https://cookpad.com/tw/recipe/images/442b25fef035b594
玉米番茄貢丸湯,"玉米 三根, 番茄 一顆, 貢丸 6 顆, 金針菇 1 包, 薑片 3 片, 香油 些許, 白胡椒粉 些許, 鹽 適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12520246-%E7%8E%89%E7%B1%B3%E7%95%AA%E8%8C%84%E8%B2%A2%E4%B8%B8%E6%B9%AF,https://cookpad.com/tw/recipe/images/ba5737c29381295a
牛油蛋糕,"牛油蛋糕, 有鹽牛油 250 g, 細砂糖 250 g, 雞蛋 5 粒, 普通麵粉 250 g, Baking Power 1/2 茶匙, 牛奶 50 ml, 香草精 1/2茶匙 (個人沒放), 奶油霜, Whipping Cream 500 g, 細砂糖 50 g",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12489941-%E7%89%9B%E6%B2%B9%E8%9B%8B%E7%B3%95,https://cookpad.com/tw/recipe/images/b9ebc66d912388e8
蝴蝶酥,"冷凍起酥皮 4片 (室溫放軟), 黃砂糖 150 克, 高筋麵粉 適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12519924-%E8%9D%B4%E8%9D%B6%E9%85%A5,https://cookpad.com/tw/recipe/images/d581503005b784e0
牛小排馬鈴薯湯鍋/簡單的快煮鍋料理,"食材, 牛小排 幾片, 洋蔥 1/2 顆, 馬鈴薯 1/2 顆, 白菜 數片, 調味, 薑 數片, 蒜頭 2 瓣, 水 1杯半, 薄鹽醬油 1 小匙, 米酒 2 大匙, 鹽 1 小撮, 香油 適量, 昆布 1 小塊",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12155860-%E7%89%9B%E5%B0%8F%E6%8E%92%E9%A6%AC%E9%88%B4%E8%96%AF%E6%B9%AF%E9%8D%8B%E7%B0%A1%E5%96%AE%E7%9A%84%E5%BF%AB%E7%85%AE%E9%8D%8B%E6%96%99%E7%90%86,https://cookpad.com/tw/recipe/images/b05f596e38278b5f
魚鬆起司蛋熱壓三明治,"全麥土司 二片, 魚鬆 一大匙, 起司 一片, 蛋 一顆, 玉米粒 一湯匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12519807-%E9%AD%9A%E9%AC%86%E8%B5%B7%E5%8F%B8%E8%9B%8B%E7%86%B1%E5%A3%93%E4%B8%89%E6%98%8E%E6%B2%BB,https://cookpad.com/tw/recipe/images/34a36ed8f901dd86
打拋豬肉,"柳葉魚 一盒, 絞肉 一盒, 聖女 10 顆, 打拋醬 半包, 水公司半杯, 九層塔 一把",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12519606-%E6%89%93%E6%8B%8B%E8%B1%AC%E8%82%89,https://cookpad.com/tw/recipe/images/6bcc7fa0dfe999bb
蔬菜義大利麵,"螺旋麵100克, 玉米筍7支, 蘆筍100克, 紅甜椒半顆",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12519657-%E8%94%AC%E8%8F%9C%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5,https://cookpad.com/tw/recipe/images/be8a95053e125814
紅蘿蔔木瓜雪耳豬骨湯,"紅蘿蔔 一條, 木瓜 一個, 雪耳 一片, 螺肉 三片, 豬骨 一斤, 粟米 一條, 蜜棗 兩粒, 果皮 一片, 南杏北杏 適量, 鹽 適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12474012-%E7%B4%85%E8%98%BF%E8%94%94%E6%9C%A8%E7%93%9C%E9%9B%AA%E8%80%B3%E8%B1%AC%E9%AA%A8%E6%B9%AF,https://cookpad.com/tw/recipe/images/1c8c57523c3ba45c
輕食午餐 – 油醋Mozzarella蘿美番茄雞肉沙拉,"雞胸肉3片, 蘿蔓生菜適量, 番茄2顆, Mozzarella 2 塊, 黑胡椒、匈牙利紅椒粉、粗海鹽、檸檬汁、炸乾的蒜酥少許, extra virgin，balsamico適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12519331-%E8%BC%95%E9%A3%9F%E5%8D%88%E9%A4%90-%E6%B2%B9%E9%86%8Bmozzarella%E8%98%BF%E7%BE%8E%E7%95%AA%E8%8C%84%E9%9B%9E%E8%82%89%E6%B2%99%E6%8B%89,https://cookpad.com/tw/recipe/images/27590003544486e3
番茄米粉,"櫻桃番茄 1 盒, 水 2 碗, 米粉 2球, 鹽一小撮, 大蒜 5 瓣, 麻油 2 大湯匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12519155-%E7%95%AA%E8%8C%84%E7%B1%B3%E7%B2%89,https://cookpad.com/tw/recipe/images/027481faf6ccbe9b
菠菜豬肉水餃,"豬絞肉 500 克, 蛋 1 顆, 菠菜 適量, 青蔥 2 支, 紅蔥酥 1.5 大匙, 薑末 1 小塊, 現成水餃皮 36 張, 調味料, 鹽 適量, 醬油 2 大匙, 米酒 1 大匙, 白胡椒粉 適量, 麻油 1.5 大匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12518988-%E8%8F%A0%E8%8F%9C%E8%B1%AC%E8%82%89%E6%B0%B4%E9%A4%83,https://cookpad.com/tw/recipe/images/e8d8408cce0b93b9
火腿起司蛋堡,"漢堡麵包 3 個, 火腿 3 片, 起司片 3 片, 雞蛋 3 個, 千島沙拉醬 適量, 白胡椒粉 適量, 奶油 少許",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12518966-%E7%81%AB%E8%85%BF%E8%B5%B7%E5%8F%B8%E8%9B%8B%E5%A0%A1,https://cookpad.com/tw/recipe/images/62d529da12e6c88d
蒸南瓜,"南瓜, 薑絲, 鹽",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12518942-%E8%92%B8%E5%8D%97%E7%93%9C,https://cookpad.com/tw/recipe/images/3a805fe7aa9a8d70
水波爐-鹽烤豬五花佐清蒸鱸魚,"鱸魚1條, 五花肉2條, 薑絲少許, 蔥絲少許, 五花肉調味料, 海鹽少許, 胡椒鹽適量, 清蒸魚調味, 蒸魚醬油3大匙, 味霖1大匙, 米酒1大匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12518924-%E6%B0%B4%E6%B3%A2%E7%88%90-%E9%B9%BD%E7%83%A4%E8%B1%AC%E4%BA%94%E8%8A%B1%E4%BD%90%E6%B8%85%E8%92%B8%E9%B1%B8%E9%AD%9A,https://cookpad.com/tw/recipe/images/e8229805d0bb2b94
清燉羊肉,"羊肉塊 1000 克, 洋蔥 1 顆, 紅蘿蔔 1 支, 調味料, 花椒 1 小把, 當歸 少許, 黃耆 適量, 薑片 50 克, 甘草 少許, 沾醬, 陳年豆腐乳 1 塊, 醬油 少許, 二砂 少許, 辣椒醬 適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12452776-%E6%B8%85%E7%87%89%E7%BE%8A%E8%82%89,https://cookpad.com/tw/recipe/images/b73a08c4799f1ba2
